username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-12-31 19:51;0;0;"Happy new year Mr. Moon";;;;"1079812381121921025";https://twitter.com/BluesCrypto/status/1079812381121921025
;2018-12-31 19:50;0;3;"Halloween was in October";;;;"1079812138393370624";https://twitter.com/BluesCrypto/status/1079812138393370624
;2018-12-29 20:20;0;3;"https://twitter.com/BluesCrypto/status/1079081470713626630?s=19 …";;;;"1079094848144195584";https://twitter.com/BluesCrypto/status/1079094848144195584
;2018-12-29 19:31;0;1;"pic.twitter.com/mmVTfZtDTe";;;;"1079082620015788032";https://twitter.com/BluesCrypto/status/1079082620015788032
;2018-12-29 19:28;0;1;"Gary Cahill to Arsenal";;;;"1079081627916091393";https://twitter.com/BluesCrypto/status/1079081627916091393
;2018-12-29 19:27;8;80;"pic.twitter.com/8FRL0vDKcS";;;;"1079081470713626630";https://twitter.com/BluesCrypto/status/1079081470713626630
;2018-12-29 05:07;0;1;"Dumb statement from a dumb person";;;;"1078865058434899970";https://twitter.com/BluesCrypto/status/1078865058434899970
;2018-12-28 23:24;0;8;"Your ₿itcoins could be doubled in your bitmex account. All you have to do is logging in [insert reflink here] to find themhttps://twitter.com/gethoneyminer/status/1078767266089586689 …";;;;"1078778714719170560";https://twitter.com/BluesCrypto/status/1078778714719170560
;2018-12-28 22:32;0;5;"Red color, that's why. Always told you blue is better";;;;"1078765576728862720";https://twitter.com/BluesCrypto/status/1078765576728862720
;2018-12-28 15:18;0;7;"Heikin Achi is coming (not even kidding)";;;;"1078656563760582656";https://twitter.com/BluesCrypto/status/1078656563760582656
;2018-12-28 15:06;0;2;"That's very generous of you";;;;"1078653403260243969";https://twitter.com/BluesCrypto/status/1078653403260243969
;2018-12-27 01:15;1;3;"I think setting goals helps you focus more ( not retarded targets, but more like 10% per month or something like that).";;;;"1078081896330989568";https://twitter.com/BluesCrypto/status/1078081896330989568
;2018-12-26 16:59;0;3;"Thanks for your donationspic.twitter.com/WalrDA3qff";;;;"1077957105175408642";https://twitter.com/BluesCrypto/status/1077957105175408642
;2018-12-25 03:13;0;2;"Pokemon cards";;;;"1077386751369494528";https://twitter.com/BluesCrypto/status/1077386751369494528
;2018-12-24 04:50;4;20;"Good weekly close on $ XLM here, top of the range is at around 4800 sats. I'm in from 3050 sats with a stop below the last swing low. R:R definitely worth it for me.pic.twitter.com/hVoR1ijoVV";;;;"1077048854913171456";https://twitter.com/BluesCrypto/status/1077048854913171456
;2018-12-24 04:45;0;4;"Excellent swing trade. Scalpers are jealous";;;;"1077047566142005249";https://twitter.com/BluesCrypto/status/1077047566142005249
;2018-12-24 01:57;0;11;"Surprise !";;;;"1077005368922988544";https://twitter.com/BluesCrypto/status/1077005368922988544
;2018-12-24 01:48;4;59;"$ ETH up 80% from the lows, bears are sweating.pic.twitter.com/dEF84xuPKK";;;;"1077002922691579904";https://twitter.com/BluesCrypto/status/1077002922691579904
;2018-12-23 22:36;1;7;"as is $ TRX yum";;;;"1076954732542001152";https://twitter.com/BluesCrypto/status/1076954732542001152
;2018-12-23 22:25;0;0;"Thanks mate";;;;"1076951908265443328";https://twitter.com/BluesCrypto/status/1076951908265443328
;2018-12-23 21:09;0;9;"Wait, so DonAlt and SalsaTekila are the same person";;;;"1076932895867133952";https://twitter.com/BluesCrypto/status/1076932895867133952
;2018-12-23 20:15;0;3;"pic.twitter.com/7vG3YcpWtp";;;;"1076919284910227456";https://twitter.com/BluesCrypto/status/1076919284910227456
