username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-12-21 23:02;112;456;"Coinbase CEO @ brian_armstrong sat down with @ cdixon, @ a16z general partner and Coinbase board member, to discuss the state of crypto, emerging technologies, and the future.https://youtu.be/Bx78aNxwA1E";;@ @ @;;"1076236539535884288";https://twitter.com/coinbase/status/1076236539535884288
;2018-12-21 21:02;46;289;"We're also donating $25k worth of Bitcoin to help more than 60 survivors of domestic violence through @ GiveCrypto's partnership with @ freefromorg. This gift enables FreeFrom to support people in abusive situations with discreet cash aid.";;@ @;;"1076206233697148928";https://twitter.com/coinbase/status/1076206233697148928
;2018-12-21 21:02;103;448;"On Day 12 of 12 Days of Coinbase, we're making gifts to support crypto and blockchain education. We're supporting @ udacity Blockchain Developer Nanodegree scholarships for @ recodedofficial @ techqueriaSF and @ CodeToInspire members. Learn more here:https://bit.ly/2EdaAj1";;@ @ @ @;;"1076206233126821888";https://twitter.com/coinbase/status/1076206233126821888
;2018-12-21 20:20;131;403;"Introducing Dexter, our forensics framework developed for high-security environments. If you're interested in learning how Coinbase keeps its platform secure, check it out!https://blog.coinbase.com/introducing-dexter-b41d28f992b9 …";;;;"1076195814287044608";https://twitter.com/coinbase/status/1076195814287044608
;2018-12-20 21:01;60;248;"Those in Andorra, Gibraltar, Guernsey, Iceland, Isle of Man, and Lithuania now have access to http://Coinbase.com and iOS and Android apps.";;;;"1075843689761525760";https://twitter.com/coinbase/status/1075843689761525760
;2018-12-20 21:01;264;1026;"Today, we’re taking another stride toward realizing our mission of creating an open financial system for the world by announcing the rollout of Coinbase to 6 additional markets around the world. Learn more here: https://bit.ly/2T3lQCS It's Day 11 of 12 Days of Coinbase.pic.twitter.com/n235o22uyn";;;;"1075843686674493440";https://twitter.com/coinbase/status/1075843686674493440
;2018-12-19 21:17;57;307;"Our goal is to make blockchain technology more accessible, both in the sense of making cryptocurrencies easier to obtain and easier to understand. Over time, we plan to add more kinds of tasks and the ability to earn other cryptocurrencies.https://bit.ly/2GsBTID";;;;"1075485224232935424";https://twitter.com/coinbase/status/1075485224232935424
;2018-12-19 21:17;63;347;"In this initial phase, we’re launching in invite-only mode with educational content about one asset: ZRX. While earning is invite-only to start, everyone has immediate access to the educational content and can join the waitlist to request an invite.pic.twitter.com/ZqqVs6UUPq";;;;"1075485222060187648";https://twitter.com/coinbase/status/1075485222060187648
;2018-12-19 21:17;706;2254;"Today, we're launching Coinbase Earn, a new way to earn crypto while learning about digital assets. With Coinbase Earn, the idea is for users to learn about an asset’s utility and its underlying technology, while getting a bit of the asset to try out. https://blog.coinbase.com/earn-cryptocurrency-while-learning-about-new-digital-assets-cc2df3537fc7 …pic.twitter.com/cWa8RTDGuA";;;;"1075485216716644352";https://twitter.com/coinbase/status/1075485216716644352
;2018-12-19 19:56;355;1287;"Earlier this month, Coinbase moved 5% of all BTC, 8% of all ETH, and 25% of all LTC in circulation to our next-gen secure cold storage. Here’s how we did it.https://blog.coinbase.com/a-behind-the-scenes-look-at-the-biggest-and-quietest-crypto-transfer-on-record-682ff4a6d9e4 …";;;;"1075465004629995521";https://twitter.com/coinbase/status/1075465004629995521
