Kategorija: Finance

Teden,Bitcoin: (Ves svet),Kriptovaluta: (Ves svet)
2017-01-01,8,< 1
2017-01-08,7,< 1
2017-01-15,5,< 1
2017-01-22,5,< 1
2017-01-29,5,< 1
2017-02-05,5,< 1
2017-02-12,5,< 1
2017-02-19,6,< 1
2017-02-26,7,< 1
2017-03-05,8,< 1
2017-03-12,6,< 1
2017-03-19,7,< 1
2017-03-26,6,< 1
2017-04-02,6,< 1
2017-04-09,6,< 1
2017-04-16,6,1
2017-04-23,6,1
2017-04-30,8,1
2017-05-07,12,1
2017-05-14,15,1
2017-05-21,23,2
2017-05-28,15,2
2017-06-04,15,2
2017-06-11,16,2
2017-06-18,13,2
2017-06-25,14,2
2017-07-02,11,2
2017-07-09,12,2
2017-07-16,14,2
2017-07-23,12,2
2017-07-30,14,2
2017-08-06,17,2
2017-08-13,23,3
2017-08-20,18,3
2017-08-27,19,3
2017-09-03,20,3
2017-09-10,23,3
2017-09-17,17,2
2017-09-24,14,2
2017-10-01,14,2
2017-10-08,20,2
2017-10-15,21,3
2017-10-22,22,3
2017-10-29,29,3
2017-11-05,30,3
2017-11-12,33,4
2017-11-19,30,4
2017-11-26,67,8
2017-12-03,94,10
2017-12-10,95,14
2017-12-17,100,16
2017-12-24,68,13
2017-12-31,53,17
2018-01-07,50,16
2018-01-14,58,14
2018-01-21,42,9
2018-01-28,41,9
2018-02-04,51,8
2018-02-11,30,6
2018-02-18,27,6
2018-02-25,23,5
2018-03-04,21,4
2018-03-11,21,4
2018-03-18,19,4
2018-03-25,19,4
2018-04-01,19,4
2018-04-08,18,3
2018-04-15,16,4
2018-04-22,17,4
2018-04-29,15,3
2018-05-06,14,3
2018-05-13,13,3
2018-05-20,13,3
2018-05-27,12,3
2018-06-03,11,2
2018-06-10,13,3
2018-06-17,11,2
2018-06-24,12,2
2018-07-01,11,2
2018-07-08,10,2
2018-07-15,13,2
2018-07-22,15,2
2018-07-29,12,2
2018-08-05,13,2
2018-08-12,13,2
2018-08-19,12,2
2018-08-26,12,2
2018-09-02,13,2
2018-09-09,11,2
2018-09-16,11,2
2018-09-23,10,2
2018-09-30,10,2
2018-10-07,9,2
2018-10-14,10,2
2018-10-21,9,2
2018-10-28,9,2
2018-11-04,9,2
2018-11-11,10,2
2018-11-18,15,2
2018-11-25,16,2
2018-12-02,13,2
2018-12-09,12,2
2018-12-16,14,2
2018-12-23,12,2
2018-12-30,10,2
